得意	得意 (￣∇￣) (˶‾᷄ ⁻̫ ‾᷅˵) (⌐■_■)
滿意	滿意 (￣∇￣)
興奮	興奮 (⁎⁍̴̛ᴗ⁍̴̛⁎) ٩(˃̶͈̀௰˂̶͈́)و
閃亮	閃亮 (⁎⁍̴̛ᴗ⁍̴̛⁎)
加油	加油 ٩(˃̶͈̀௰˂̶͈́)و
激動	激動 ٩(˃̶͈̀௰˂̶͈́)و (⁎⁍̴̛ᴗ⁍̴̛⁎)
壞笑	壞笑 (◐‿◑)
賊笑	賊笑 (◐‿◑)
害羞	害羞 ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄ (˶‾᷄ ⁻̫ ‾᷅˵)
臉紅	臉紅 ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄
哭	哭 (｡ ́︿ ̀｡) ಥ_ಥ
大哭	大哭 ಥ_ಥ
難過	難過 (｡ ́︿ ̀｡) ಥ_ಥ
委屈	委屈 ( ･᷄ὢ･᷅ ) (｡ ́︿ ̀｡)
困惑	困惑 ( ･᷄ὢ･᷅ )
無言	無言 ಠ_ಠ
懷疑	懷疑 ಠ_ಠ
生氣	生氣 o(｀ω´ )o
不服	不服 o(｀ω´ )o
熊	熊 ʕ •ᴥ•ʔ
可愛	可愛 (*´꒳`*) ʕ •ᴥ•ʔ
開心	開心 (*´∇｀*) (*´꒳`*) (￣∇￣)
高興	高興 (*´∇｀*) (*´꒳`*)
笑	笑 (*´∇｀*) (◐‿◑) ^_^ (￣∇￣)
崩潰	崩潰 _(´ཀ`」 ∠)_
累	累 _(´ཀ`」 ∠)_
絕望	絕望 _(´ཀ`」 ∠)_
聳肩	聳肩 ¯\_(ツ)_/¯
隨便	隨便 ¯\_(ツ)_/¯
掀桌	掀桌 (╯°□°）╯︵ ┻━┻
生氣掀桌	生氣掀桌 (╯°□°）╯︵ ┻━┻
抱歉	抱歉 (_ _)
對不起	對不起 (_ _)
かわいい	かわいい (*´꒳`*) ʕ •ᴥ•ʔ
可愛い	可愛い (*´꒳`*) ʕ •ᴥ•ʔ
うれしい	うれしい (*´∇｀*) (*´꒳`*)
嬉しい	嬉しい (*´∇｀*) (*´꒳`*)
わらい	わらい (*´∇｀*) (◐‿◑) ^_^
笑い	笑い (*´∇｀*) (◐‿◑)
かなしい	かなしい (｡ ́︿ ̀｡) ಥ_ಥ
悲しい	悲しい (｡ ́︿ ̀｡) ಥ_ಥ
なく	なく ಥ_ಥ
おこる	おこる o(｀ω´ )o
怒る	怒る o(｀ω´ )o
てれる	てれる ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄
照れる	照れる ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄
つかれた	つかれた _(´ཀ`」 ∠)_
疲れた	疲れた _(´ཀ`」 ∠)_
がんばれ	がんばれ ٩(˃̶͈̀௰˂̶͈́)و
頑張れ	頑張れ ٩(˃̶͈̀௰˂̶͈́)و
くま	くま ʕ •ᴥ•ʔ
むり	むり _(´ཀ`」 ∠)_
無理	無理 _(´ཀ`」 ∠)_
しらない	しらない ¯\_(ツ)_/¯
ごめん	ごめん (_ _)
顏文字	顏文字 (￣∇￣) (⁎⁍̴̛ᴗ⁍̴̛⁎) ٩(˃̶͈̀௰˂̶͈́)و (◐‿◑) (˶‾᷄ ⁻̫ ‾᷅˵) ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄ (｡ ́︿ ̀｡) ( ･᷄ὢ･᷅ ) ಠ_ಠ o(｀ω´ )o ಥ_ಥ ʕ •ᴥ•ʔ (*´꒳`*) (*´∇｀*) _(´ཀ`」 ∠)_ ^_^ ¯\_(ツ)_/¯ (⌐■_■) (╯°□°）╯︵ ┻━┻ (_ _)
kaomoji	kaomoji (￣∇￣) (⁎⁍̴̛ᴗ⁍̴̛⁎) ٩(˃̶͈̀௰˂̶͈́)و (◐‿◑) (˶‾᷄ ⁻̫ ‾᷅˵) ⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄ (｡ ́︿ ̀｡) ( ･᷄ὢ･᷅ ) ಠ_ಠ o(｀ω´ )o ಥ_ಥ ʕ •ᴥ•ʔ (*´꒳`*) (*´∇｀*) _(´ཀ`」 ∠)_ ^_^ ¯\_(ツ)_/¯ (⌐■_■) (╯°□°）╯︵ ┻━┻ (_ _)
